abbrev,state,povertyRate,avgHHIncome,year,colorsID
AK,Alaska,10.1,77203,2019,13.31
AZ,Arizona,13.5,62027,2019,1463.17
AR,Arkansas,16,49020,2019,3586.02
CA,California,11.8,80423,2019,16472.88
CO,Colorado,9.40,77104,2019,1851.33
CT,Connecticut,9.90,78920,2019,259.62
DE,Delaware,11.1,70348,2019,282.19
FL,Florida,12.6,59198,2019,3764.09
GA,Georgia,13.5,61950,2019,2860.84
HI,Hawaii,9,83734,2019,401.84
ID,Idaho,11,60830,2019,2078.89
IL,Illinois,11.4,69212,2019,8709.48
IN,Indiana,11.9,57617,2019,5050.23
IA,Iowa,11,61807,2019,11273.76
KS,Kansas,11.3,62028,2019,4589.01
KY,Kentucky,16,52256,2019,1889.15
LA,Louisiana,18.8,51108,2019,1914.23
ME,Maine,10.9,58824,2019,278.37
MD,Maryland,9.09,86644,2019,692.75
MA,Massachusetts,9.5,85700,2019,248.65
MI,Michigan,12.9,59522,2019,3164.16
MN,Minnesota,8.90,74529,2019,7192.33
MS,Mississippi,19.5,45928,2019,2170.8
MO,Missouri,12.9,57375,2019,3933.42
MT,Montana,12.6,57248,2019,1718
NE,Nebraska,9.90,63290,2019,7114.13
NV,Nevada,12.6,63268,2019,139.89
NH,New Hampshire,7.5,78571,2019,73.06
NJ,New Jersey,9.09,85786,2019,500.4
NM,New Mexico,17.5,52021,2019,751.58
NY,New York,13.1,72038,2019,1488.9
NC,North Carolina,13.6,57388,2019,3806.05
ND,North Dakota,10.5,67402,2019,3761.96
OH,Ohio,13,58704,2019,3979.79
OK,Oklahoma,15.1,54447,2019,1646.41
OR,Oregon,11.5,66955,2019,1794.57
PA,Pennsylvania,12,63455,2019,1969.87
RI,Rhode Island,11.6,70383,2019,31.59
SC,South Carolina,13.9,56360,2019,929.93
SD,South Dakota,11.9,60414,2019,3770.19
TN,Tennessee,13.8,56047,2019,1535.13
TX,Texas,13.6,64044,2019,6648.22
UT,Utah,8.80,75705,2019,453.39
VT,Vermont,10.1,63293,2019,180.14
VA,Virginia,9.90,76471,2019,1146.48
WA,Washington,9.80,78674,2019,3894.81
WV,West Virginia,16.1,48659,2019,138.89
WI,Wisconsin,10.4,64177,2019,3090.23
WY,Wyoming,9.90,66152,2019,349.69
AL,Alabama,14.9,53958,2020,1390.63
AK,Alaska,9.59,79961,2020,13.31
AZ,Arizona,12.8,64652,2020,1463.17
AR,Arkansas,15.1,51146,2020,3586.02
CA,California,11.5,83001,2020,16472.88
CO,Colorado,9,77688,2020,1851.33
